year	Belleville	Black Hawk	Chicago	Danville	DuPage	Elgin	Harper	Heartland	Highland	Illinois Central	Illinois Eastern	Illinois Valley	Joliet	Kankakee	Kaskaskia	Kishwaukee	Lake County	Lake Land	Lewis & Clark	Lincoln Land	Logan	McHenry	Metropolitan	Moraine Valley	Morton	Oakton	Parkland	Prairie State	Rend Lake	Rest of state	Richland	Rock Valley	Sandburg	Sauk Valley	Shawnee	South Suburban	Southeastern	Southwestern	Spoon River	Statewide	Triton	Waubonsee	Wood
1996	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1997		0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1998		0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1999		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.03	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2000		0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0		0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0
2001		0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.01	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0
2002		0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.01		0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2003		0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01		0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2004		0.0	0.01	0.04	0.01	0.01	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0		0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
2005		0.0	0.01	0.01	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
2006		0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.01	0.01	0.01		0.0	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0
2007		0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.02	0.0	0.01	0.0	0.0		0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2008		0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.02	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.01		0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0
2009		0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.01		0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010		0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011		0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.02	0.01	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.02	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0
2012		0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.01	0.02	0.0	0.01	0.0	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013		0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.01	0.0	0.02	0.0	0.0	0.0	0.01	0.0		0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.0
2014		0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.03	0.02	0.0	0.0	0.0	0.02	0.01	0.01	0.02	0.01	0.01	0.0	0.0	0.01		0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.01	0.0	0.0	0.0
2015		0.0	0.0	0.01	0.01	0.02	0.01	0.0	0.01	0.02	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0		0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0
2016		0.0	0.0	0.0	0.01	0.02	0.01	0.0	0.03	0.01	0.0	0.01	0.0	0.01	0.02	0.01	0.01	0.0	0.01	0.01	0.0	0.01		0.0	0.0	0.01	0.01	0.0	0.01	0.01	0.01	0.02	0.0	0.03	0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.02
