STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,statefp_2,COUNTYFP,COUNTYNS,geoid_2,name_2,namelsad_2,lsad_2,classfp_2,mtfcc_2,CSAFP,CBSAFP,METDIVFP,funcstat_2,aland_2,awater_2,intptlat_2,intptlon_2
17,42028,02398395,1742028,Lansing,Lansing village,47,C1,N,N,G4110,A,19326348,148891,+41.5650043,-087.5460037,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,48554,02399321,1748554,Merrionette Park,Merrionette Park village,47,C1,N,N,G4110,A,971530,0,+41.6811167,-087.7012118,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,53000,02399498,1753000,Niles,Niles village,47,C1,N,N,G4110,A,15140308,0,+42.0278655,-087.8099641,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,53481,02399526,1753481,Northbrook,Northbrook village,47,C1,N,N,G4110,A,34290370,169101,+42.1287453,-087.8351622,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,54144,02399521,1754144,North Riverside,North Riverside village,47,C1,N,N,G4110,A,4256894,0,+41.8461419,-087.8262826,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,54638,02395281,1754638,Oak Forest,Oak Forest city,25,C1,N,N,G4110,A,15533259,123156,+41.6066802,-087.7532989,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,57225,02399608,1757225,Palatine,Palatine village,47,C1,N,N,G4110,A,35271530,370236,+42.1180137,-088.0427961,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,23724,02398817,1723724,Elmwood Park,Elmwood Park village,47,C1,N,N,G4110,A,4942718,0,+41.9224582,-087.8163209,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,24582,02394709,1724582,Evanston,Evanston city,25,C5,Y,N,G4110,A,20148540,57390,+42.0463909,-087.6943525,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,24634,02398846,1724634,Evergreen Park,Evergreen Park village,47,C1,N,N,G4110,A,8191088,0,+41.7212749,-087.7013342,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,26571,02398889,1726571,Flossmoor,Flossmoor village,47,C1,N,N,G4110,A,9482662,0,+41.5391192,-087.6856860,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,26710,02398892,1726710,Ford Heights,Ford Heights village,47,C1,N,N,G4110,A,5040404,0,+41.5108968,-087.5814298,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,26935,02398896,1726935,Forest Park,Forest Park village,47,C1,N,N,G4110,A,6220351,0,+41.8683694,-087.8156629,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,26987,02398897,1726987,Forest View,Forest View village,47,C1,N,N,G4110,A,3026046,330154,+41.8090968,-087.7730786,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,27702,02398919,1727702,Franklin Park,Franklin Park village,47,C1,N,N,G4110,A,12361326,0,+41.9359925,-087.8791897,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,29652,02398973,1729652,Glencoe,Glencoe village,47,C1,N,N,G4110,A,9631227,158099,+42.1344886,-087.7631783,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,30029,02398979,1730029,Glenwood,Glenwood village,47,C1,N,N,G4110,A,8340950,0,+41.5404990,-087.6109730,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,33383,02394317,1733383,Harvey,Harvey city,25,C1,N,N,G4110,A,16073865,0,+41.6075826,-087.6519895,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,33435,02398264,1733435,Harwood Heights,Harwood Heights village,47,C1,N,N,G4110,A,2136262,0,+41.9663183,-087.8055904,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,33695,02398479,1733695,Hazel Crest,Hazel Crest village,47,C1,N,N,G4110,A,8780177,54790,+41.5741645,-087.6892945,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,34514,02394371,1734514,Hickory Hills,Hickory Hills city,25,C1,N,N,G4110,A,7322838,0,+41.7247875,-087.8281150,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,35086,02398510,1735086,Hillside,Hillside village,47,C1,N,N,G4110,A,8241116,0,+41.8674843,-087.9019016,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,35385,02398517,1735385,Hodgkins,Hodgkins village,47,C1,N,N,G4110,A,6848406,139993,+41.7660665,-087.8619439,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,35866,02394413,1735866,Hometown,Hometown city,25,C1,N,N,G4110,A,1240338,0,+41.7312484,-087.7311338,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,35879,02398537,1735879,Homewood,Homewood village,47,C1,N,N,G4110,A,13509046,122555,+41.5594219,-087.6620247,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,17523,02398650,1717523,Crete,Crete village,47,C1,N,N,G4110,A,25103248,44678,+41.4394057,-087.6236214,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,27624,02398915,1727624,Frankfort,Frankfort village,47,C1,N,N,G4110,A,41638301,0,+41.5289060,-087.8210010,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,42795,02398417,1742795,Lemont,Lemont village,47,C1,N,N,G4110,A,20952427,1008508,+41.6672060,-087.9818764,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,65442,02399114,1765442,Romeoville,Romeoville village,47,C1,N,N,G4110,A,49242280,2665486,+41.6277547,-088.1057855,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,75484,02399987,1775484,Tinley Park,Tinley Park village,47,C1,N,N,G4110,A,41718921,30829,+41.5685794,-087.8042169,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,76935,02400029,1776935,University Park,University Park village,47,C1,N,N,G4110,A,27907573,5723,+41.4468945,-087.7129690,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,83245,02399735,1783245,Woodridge,Woodridge village,47,C1,N,N,G4110,A,25031702,416053,+41.7373922,-088.0441298,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,35835,02398535,1735835,Homer Glen,Homer Glen village,47,C1,N,N,G4110,A,57309382,102627,+41.6051790,-087.9523726,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,56627,02399585,1756627,Orland Hills,Orland Hills village,47,C1,N,N,G4110,A,2964767,19721,+41.5911743,-087.8415395,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,37907,02398280,1737907,Itasca,Itasca village,47,C1,N,N,G4110,A,12913348,316661,+41.9766165,-088.0187752,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,62016,02396288,1762016,Prospect Heights,Prospect Heights city,25,C1,N,N,G4110,A,11018358,78992,+42.1031853,-087.9248383,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,02154,02397986,1702154,Arlington Heights,Arlington Heights village,47,C1,Y,N,G4110,A,42995543,79089,+42.0973621,-087.9816706,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,03883,02398038,1703883,Barrington Hills,Barrington Hills village,47,C1,N,N,G4110,A,70168850,1597112,+42.1386415,-088.2029588,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,04013,02398041,1704013,Bartlett,Bartlett village,47,C1,N,N,G4110,A,40660593,499271,+41.9805463,-088.2047613,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,05248,02398095,1705248,Bensenville,Bensenville village,47,C1,N,N,G4110,A,14258172,111646,+41.9597005,-087.9434600,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,10513,02397534,1710513,Calumet Park,Calumet Park village,47,C1,N,N,G4110,A,2881331,92477,+41.6657352,-087.6576504,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,14026,02393512,1714026,Chicago Heights,Chicago Heights city,25,C1,N,N,G4110,A,26401571,33941,+41.5106847,-087.6346721,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,65338,02396420,1765338,Rolling Meadows,Rolling Meadows city,25,C1,N,N,G4110,A,14579258,16606,+42.0749095,-088.0253634,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,68003,02399769,1768003,Schaumburg,Schaumburg village,47,C1,Y,N,G4110,A,49947538,292112,+42.0290069,-088.0836563,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,72676,02399900,1772676,Stickney,Stickney village,47,C1,N,N,G4110,A,4983928,94151,+41.8170254,-087.7737005,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,72923,02399908,1772923,Stone Park,Stone Park village,47,C1,N,N,G4110,A,889897,0,+41.9032359,-087.8807011,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,73157,02399920,1773157,Streamwood,Streamwood village,47,C1,N,N,G4110,A,20178035,86802,+42.0205861,-088.1777706,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,18992,02398705,1718992,Deerfield,Deerfield village,47,C1,N,N,G4110,A,14323093,56946,+42.1660688,-087.8524665,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,19083,02398704,1719083,Deer Park,Deer Park village,47,C1,N,N,G4110,A,9391247,260406,+42.1662835,-088.0861798,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,19642,02394524,1719642,Des Plaines,Des Plaines city,25,C1,Y,N,G4110,A,37150631,379920,+42.0351182,-087.9010719,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,21696,02398774,1721696,East Dundee,East Dundee village,47,C1,N,N,G4110,A,7186072,606204,+42.0974370,-088.2480785,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,23256,02398803,1723256,Elk Grove Village,Elk Grove Village village,47,C1,N,N,G4110,A,29712508,146770,+42.0057778,-087.9930339,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,29938,02398977,1729938,Glenview,Glenview village,47,C1,N,N,G4110,A,36319550,109657,+42.0851622,-087.8273880,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,30328,02398174,1730328,Golf,Golf village,47,C1,N,N,G4110,A,1161331,0,+42.0585491,-087.7849406,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,32746,02398244,1732746,Hanover Park,Hanover Park village,47,C1,N,N,G4110,A,16437654,274167,+41.9812620,-088.1424610,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,35307,02398514,1735307,Hinsdale,Hinsdale village,47,C1,N,N,G4110,A,11954673,86628,+41.8006825,-087.9281725,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,80242,02400150,1780242,Western Springs,Western Springs village,47,C1,N,N,G4110,A,7223001,0,+41.8022543,-087.9005509,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,82075,02399704,1782075,Wilmette,Wilmette village,47,C1,N,N,G4110,A,13994253,23599,+42.0773232,-087.7286214,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,82530,02399718,1782530,Winnetka,Winnetka village,47,C1,N,N,G4110,A,9859813,207366,+42.1062103,-087.7427639,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,83518,02399742,1783518,Worth,Worth village,47,C1,N,N,G4110,A,6134930,33039,+41.6882112,-087.7925772,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,81087,02400161,1781087,Wheeling,Wheeling village,47,C1,N,N,G4110,A,22460710,150683,+42.1296141,-087.9215028,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,47540,02399275,1747540,Matteson,Matteson village,47,C1,N,N,G4110,A,24093432,88795,+41.5088709,-087.7460436,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,56640,02399586,1756640,Orland Park,Orland Park village,47,C1,N,N,G4110,A,56978719,734532,+41.6081453,-087.8592903,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,57732,02399622,1757732,Park Forest,Park Forest village,47,C1,N,N,G4110,A,12849741,0,+41.4817472,-087.6868008,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,37257,02398571,1737257,Indian Head Park,Indian Head Park village,47,C1,N,N,G4110,A,2409372,20705,+41.7684326,-087.8974051,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,82985,02397360,1782985,Wood Dale,Wood Dale city,25,C1,N,N,G4110,A,12247007,271527,+41.9663062,-087.9808506,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,21904,02398777,1721904,East Hazel Crest,East Hazel Crest village,47,C1,N,N,G4110,A,2031301,0,+41.5757986,-087.6502727,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,37608,02398578,1737608,Inverness,Inverness village,47,C1,N,N,G4110,A,16923975,402555,+42.1151357,-088.1008936,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,38830,02398319,1738830,Justice,Justice village,47,C1,N,N,G4110,A,7354851,116067,+41.7534009,-087.8269406,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,39519,02398337,1739519,Kenilworth,Kenilworth village,47,C1,N,N,G4110,A,1575956,0,+42.0888226,-087.7145117,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,40767,02398365,1740767,La Grange,La Grange village,47,C1,N,N,G4110,A,6539510,0,+41.8072139,-087.8741465,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
17,40793,02398366,1740793,La Grange Park,La Grange Park village,47,C1,N,N,G4110,A,5774675,0,+41.8307620,-087.8722835,17,031,01784766,17031,Cook,Cook County,06,H1,G4020,176,16980,16974,A,-1847596478,1786313044,+41.8942937,-087.6454546
