,Harvey,Calumet City,Dolton,Chicago Heights,Cicero,Markham,Maywood,Riverdale,Park Forest,Oak Lawn,Hazel Crest,Des Plaines,Sauk Village,Country Club Hills,Berwyn,Lansing,Evanston,Skokie,Palatine,Arlington Heights,Bellwood,Blue Island,South Holland,Oak Park,Robbins,Schaumburg,Calumet Park,Orland Park,Tinley Park,Matteson,Homewood,Richton Park,Evergreen Park,Wheeling,Melrose Park,Glenview,Hoffman Estates,Streamwood,Glenwood,Mount Prospect,Burbank,Midlothian,Northbrook,Morton Grove,Park Ridge,Oak Forest,Summit,Franklin Park,Alsip,Elmwood Park,Brookfield,Lynwood,Forest Park,Lyons,Prospect Heights,Elgin,Burnham,Elk Grove Village,Rolling Meadows,Steger,Flossmoor,Hanover Park,Niles,Worth,Northlake,Westchester,Broadview,Dixmoor,Chicago Ridge,Wilmette,Crestwood,Palos Hills,Posen,Schiller Park,Hickory Hills,La Grange,Bridgeview,Lemont,Lincolnwood,Olympia Fields,Phoenix,Norridge,Stickney,Hillside,Buffalo Grove,South Chicago Heights,River Grove,Justice,River Forest,Ford Heights,Stone Park,Palos Heights,Winnetka,Bartlett,Riverside,Glencoe,Western Springs,Countryside,Palos Park,Berkeley,Willow Springs,Northfield,North Riverside,Inverness,Barrington,Harwood Heights,Thornton,La Grange Park,Hometown,Barrington Hills,East Hazel Crest,Roselle,Orland Hills,Indian Head Park,Burr Ridge,Kenilworth,South Barrington,Merrionette Park,Hinsdale,Rosemont,Elmhurst,Forest View,Bedford Park,Hodgkins,McCook
2004,151.0,97.0,77.0,74.0,61.0,56.0,60.0,30.0,27.0,31.0,59.0,34.0,25.0,39.0,38.0,22.0,28.0,27.0,30.0,27.0,31.0,22.0,48.0,27.0,30.0,36.0,18.0,19.0,22.0,35.0,26.0,28.0,14.0,17.0,18.0,15.0,12.0,27.0,15.0,11.0,24.0,4.0,21.0,12.0,18.0,17.0,9.0,11.0,12.0,10.0,13.0,17.0,5.0,4.0,8.0,12.0,11.0,7.0,22.0,5.0,18.0,10.0,15.0,5.0,7.0,8.0,11.0,12.0,7.0,8.0,4.0,9.0,14.0,5.0,15.0,6.0,4.0,3.0,7.0,10.0,25.0,7.0,3.0,0.0,5.0,7.0,3.0,9.0,3.0,20.0,5.0,3.0,1.0,5.0,3.0,7.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,7.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2005,141.0,64.0,48.0,70.0,64.0,52.0,60.0,39.0,33.0,30.0,42.0,35.0,28.0,44.0,49.0,24.0,42.0,20.0,33.0,33.0,30.0,26.0,38.0,24.0,47.0,27.0,16.0,28.0,19.0,38.0,26.0,35.0,16.0,20.0,14.0,17.0,32.0,27.0,18.0,21.0,16.0,13.0,8.0,8.0,7.0,12.0,7.0,14.0,14.0,15.0,5.0,11.0,9.0,9.0,6.0,15.0,4.0,9.0,16.0,3.0,17.0,9.0,4.0,1.0,11.0,9.0,15.0,12.0,5.0,5.0,6.0,4.0,12.0,13.0,9.0,13.0,5.0,6.0,8.0,9.0,16.0,1.0,5.0,12.0,6.0,5.0,5.0,4.0,7.0,7.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,6.0,2.0,3.0,6.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,5.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0
2006,179.0,116.0,75.0,96.0,126.0,88.0,77.0,58.0,45.0,64.0,58.0,85.0,40.0,73.0,82.0,44.0,62.0,48.0,79.0,49.0,56.0,40.0,61.0,34.0,33.0,29.0,29.0,35.0,43.0,56.0,34.0,35.0,41.0,21.0,35.0,34.0,30.0,43.0,19.0,20.0,29.0,11.0,28.0,20.0,46.0,18.0,17.0,33.0,14.0,41.0,15.0,32.0,24.0,16.0,11.0,19.0,18.0,12.0,20.0,12.0,36.0,22.0,20.0,8.0,21.0,11.0,19.0,16.0,14.0,14.0,8.0,18.0,13.0,16.0,13.0,12.0,10.0,18.0,20.0,17.0,15.0,15.0,9.0,11.0,16.0,8.0,5.0,14.0,4.0,12.0,8.0,4.0,8.0,6.0,4.0,9.0,7.0,4.0,7.0,6.0,9.0,3.0,5.0,5.0,2.0,8.0,3.0,5.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
2007,39.0,92.0,81.0,112.0,127.0,67.0,66.0,51.0,45.0,62.0,47.0,80.0,23.0,56.0,97.0,43.0,76.0,60.0,62.0,55.0,49.0,43.0,46.0,47.0,16.0,43.0,18.0,38.0,36.0,46.0,21.0,17.0,26.0,38.0,47.0,50.0,44.0,37.0,24.0,40.0,33.0,23.0,35.0,21.0,28.0,27.0,14.0,28.0,14.0,34.0,16.0,12.0,14.0,15.0,13.0,24.0,10.0,23.0,26.0,13.0,18.0,22.0,22.0,6.0,12.0,13.0,17.0,7.0,7.0,11.0,11.0,16.0,13.0,17.0,14.0,27.0,15.0,12.0,19.0,16.0,0.0,12.0,14.0,6.0,13.0,8.0,8.0,11.0,14.0,0.0,9.0,7.0,7.0,13.0,5.0,9.0,9.0,6.0,6.0,8.0,10.0,6.0,4.0,5.0,6.0,3.0,7.0,7.0,3.0,7.0,8.0,3.0,4.0,2.0,6.0,1.0,4.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0
2008,311.0,232.0,209.0,262.0,210.0,176.0,177.0,108.0,107.0,140.0,116.0,163.0,86.0,114.0,129.0,82.0,157.0,144.0,119.0,205.0,73.0,86.0,118.0,111.0,91.0,108.0,50.0,102.0,58.0,81.0,52.0,66.0,58.0,49.0,60.0,94.0,78.0,61.0,45.0,76.0,45.0,45.0,68.0,77.0,48.0,39.0,42.0,44.0,36.0,42.0,36.0,28.0,41.0,56.0,83.0,42.0,25.0,29.0,33.0,29.0,35.0,39.0,34.0,17.0,30.0,21.0,23.0,27.0,21.0,19.0,27.0,29.0,29.0,23.0,31.0,27.0,18.0,33.0,27.0,23.0,10.0,23.0,22.0,22.0,25.0,17.0,14.0,17.0,21.0,4.0,14.0,8.0,17.0,17.0,20.0,17.0,15.0,10.0,11.0,8.0,13.0,5.0,13.0,11.0,15.0,14.0,6.0,4.0,6.0,6.0,4.0,4.0,5.0,4.0,5.0,6.0,6.0,5.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0
2009,252.0,295.0,219.0,206.0,242.0,205.0,175.0,139.0,97.0,160.0,164.0,173.0,113.0,98.0,141.0,105.0,160.0,137.0,130.0,93.0,88.0,89.0,77.0,110.0,29.0,93.0,48.0,89.0,72.0,68.0,57.0,42.0,59.0,83.0,78.0,77.0,79.0,79.0,54.0,73.0,52.0,36.0,69.0,54.0,61.0,51.0,40.0,50.0,41.0,50.0,49.0,55.0,43.0,44.0,26.0,47.0,25.0,40.0,39.0,31.0,34.0,41.0,31.0,26.0,46.0,36.0,37.0,19.0,20.0,44.0,23.0,33.0,15.0,29.0,31.0,36.0,36.0,18.0,32.0,16.0,21.0,29.0,19.0,28.0,25.0,15.0,26.0,10.0,17.0,6.0,11.0,18.0,22.0,20.0,13.0,16.0,16.0,19.0,13.0,17.0,10.0,13.0,11.0,10.0,10.0,18.0,7.0,15.0,8.0,8.0,8.0,8.0,11.0,9.0,8.0,3.0,14.0,3.0,7.0,3.0,0.0,2.0,0.0,2.0,0.0
2010,214.0,240.0,243.0,155.0,195.0,152.0,163.0,179.0,96.0,95.0,113.0,90.0,97.0,121.0,89.0,77.0,93.0,80.0,99.0,86.0,92.0,79.0,69.0,86.0,38.0,63.0,76.0,56.0,63.0,66.0,62.0,56.0,44.0,54.0,58.0,48.0,51.0,50.0,42.0,44.0,45.0,37.0,43.0,37.0,43.0,23.0,30.0,33.0,26.0,30.0,27.0,28.0,34.0,29.0,43.0,26.0,36.0,24.0,25.0,23.0,27.0,21.0,27.0,16.0,20.0,27.0,26.0,29.0,19.0,25.0,17.0,20.0,26.0,35.0,23.0,23.0,19.0,22.0,17.0,15.0,15.0,24.0,15.0,14.0,17.0,21.0,20.0,24.0,6.0,15.0,6.0,11.0,13.0,18.0,11.0,10.0,9.0,8.0,11.0,5.0,8.0,6.0,8.0,6.0,7.0,6.0,6.0,8.0,7.0,6.0,9.0,8.0,7.0,5.0,4.0,10.0,2.0,7.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0
2011,284.0,287.0,241.0,207.0,178.0,189.0,191.0,141.0,145.0,81.0,123.0,104.0,116.0,87.0,82.0,95.0,96.0,98.0,59.0,50.0,76.0,70.0,85.0,56.0,54.0,53.0,73.0,37.0,49.0,51.0,55.0,38.0,51.0,59.0,44.0,43.0,47.0,42.0,39.0,43.0,43.0,30.0,34.0,28.0,27.0,38.0,33.0,29.0,24.0,27.0,32.0,20.0,29.0,27.0,19.0,27.0,23.0,28.0,30.0,28.0,26.0,20.0,22.0,18.0,30.0,17.0,29.0,23.0,18.0,18.0,18.0,26.0,20.0,24.0,21.0,18.0,20.0,18.0,18.0,20.0,19.0,16.0,20.0,17.0,10.0,10.0,14.0,11.0,12.0,9.0,13.0,11.0,16.0,7.0,8.0,4.0,6.0,7.0,7.0,6.0,11.0,8.0,3.0,5.0,7.0,3.0,4.0,3.0,10.0,12.0,6.0,2.0,5.0,3.0,1.0,7.0,3.0,5.0,2.0,4.0,1.0,0.0,2.0,3.0,1.0
2012,322.0,266.0,197.0,245.0,167.0,159.0,176.0,183.0,109.0,115.0,121.0,104.0,114.0,108.0,96.0,104.0,76.0,90.0,143.0,61.0,91.0,76.0,79.0,61.0,79.0,63.0,69.0,44.0,52.0,48.0,40.0,65.0,53.0,37.0,32.0,49.0,43.0,48.0,45.0,27.0,30.0,33.0,30.0,35.0,29.0,34.0,35.0,32.0,34.0,34.0,30.0,30.0,33.0,38.0,21.0,26.0,28.0,33.0,33.0,20.0,18.0,17.0,25.0,31.0,20.0,21.0,29.0,27.0,16.0,28.0,24.0,13.0,19.0,21.0,12.0,15.0,23.0,24.0,16.0,19.0,8.0,17.0,17.0,12.0,18.0,18.0,10.0,12.0,9.0,17.0,13.0,13.0,5.0,15.0,10.0,7.0,7.0,9.0,8.0,9.0,6.0,8.0,7.0,8.0,6.0,10.0,10.0,5.0,9.0,13.0,5.0,4.0,5.0,3.0,2.0,2.0,6.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0,1.0
2013,513.0,311.0,245.0,259.0,198.0,218.0,188.0,170.0,170.0,135.0,120.0,110.0,137.0,114.0,94.0,109.0,76.0,75.0,62.0,64.0,85.0,83.0,80.0,86.0,133.0,57.0,60.0,54.0,51.0,48.0,57.0,54.0,76.0,51.0,51.0,42.0,39.0,47.0,46.0,45.0,46.0,43.0,31.0,31.0,45.0,31.0,37.0,39.0,43.0,33.0,27.0,36.0,38.0,27.0,22.0,22.0,34.0,29.0,29.0,22.0,19.0,26.0,21.0,28.0,10.0,28.0,22.0,29.0,24.0,29.0,31.0,15.0,19.0,14.0,20.0,16.0,21.0,18.0,22.0,15.0,38.0,12.0,18.0,23.0,14.0,21.0,13.0,12.0,18.0,28.0,14.0,15.0,15.0,10.0,17.0,15.0,12.0,9.0,6.0,9.0,10.0,7.0,9.0,7.0,4.0,3.0,8.0,6.0,7.0,5.0,11.0,8.0,4.0,8.0,7.0,6.0,3.0,3.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0
2014,226.0,294.0,250.0,182.0,178.0,179.0,163.0,127.0,160.0,126.0,100.0,107.0,113.0,95.0,96.0,109.0,89.0,103.0,76.0,73.0,83.0,67.0,61.0,66.0,63.0,34.0,55.0,52.0,74.0,53.0,69.0,60.0,46.0,57.0,56.0,46.0,39.0,42.0,52.0,29.0,43.0,46.0,33.0,31.0,25.0,36.0,29.0,26.0,44.0,33.0,31.0,36.0,22.0,21.0,23.0,27.0,45.0,28.0,26.0,39.0,27.0,25.0,26.0,28.0,25.0,28.0,13.0,14.0,34.0,11.0,29.0,19.0,26.0,18.0,19.0,26.0,13.0,23.0,20.0,23.0,12.0,15.0,18.0,16.0,17.0,20.0,9.0,10.0,15.0,6.0,25.0,13.0,7.0,5.0,12.0,11.0,5.0,9.0,13.0,11.0,5.0,7.0,4.0,8.0,6.0,6.0,7.0,8.0,10.0,4.0,6.0,6.0,2.0,8.0,6.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0
2015,206.0,234.0,219.0,134.0,129.0,144.0,119.0,104.0,124.0,104.0,87.0,62.0,90.0,102.0,82.0,73.0,51.0,52.0,43.0,42.0,59.0,76.0,58.0,37.0,40.0,44.0,44.0,41.0,41.0,42.0,50.0,52.0,41.0,33.0,38.0,26.0,36.0,37.0,29.0,21.0,29.0,42.0,19.0,13.0,25.0,12.0,27.0,28.0,23.0,20.0,26.0,14.0,18.0,20.0,17.0,25.0,17.0,19.0,9.0,16.0,27.0,16.0,21.0,23.0,15.0,17.0,17.0,18.0,20.0,14.0,12.0,15.0,13.0,10.0,14.0,11.0,19.0,8.0,9.0,24.0,17.0,11.0,13.0,11.0,21.0,13.0,13.0,15.0,9.0,15.0,7.0,11.0,3.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,8.0,10.0,6.0,10.0,7.0,4.0,12.0,9.0,3.0,2.0,3.0,5.0,2.0,4.0,5.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0
2016,186.0,218.0,212.0,158.0,110.0,115.0,102.0,129.0,121.0,87.0,76.0,50.0,93.0,87.0,70.0,84.0,35.0,31.0,37.0,22.0,39.0,55.0,54.0,36.0,35.0,30.0,49.0,35.0,45.0,37.0,38.0,42.0,28.0,25.0,29.0,19.0,23.0,25.0,30.0,19.0,27.0,33.0,18.0,19.0,22.0,32.0,23.0,15.0,21.0,22.0,20.0,29.0,18.0,13.0,17.0,18.0,23.0,15.0,15.0,28.0,23.0,16.0,12.0,27.0,16.0,9.0,7.0,15.0,25.0,8.0,12.0,19.0,19.0,12.0,14.0,11.0,9.0,14.0,6.0,10.0,23.0,8.0,12.0,11.0,7.0,12.0,10.0,10.0,7.0,14.0,9.0,10.0,5.0,3.0,3.0,6.0,5.0,1.0,5.0,3.0,3.0,5.0,8.0,4.0,6.0,4.0,5.0,6.0,2.0,2.0,6.0,2.0,5.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0
