Name,Total population,Median household income,Percent in poverty,state,place,Type
Alsip,19335,53628,8.8,17,1010,village
Arlington Heights,75721,79979,2.5,17,2154,village
Barrington,10449,119688,1.8,17,3844,village
Barrington Hills,3574,131324,4.7,17,3883,village
Bartlett,41475,100458,3.2,17,4013,village
Bedford Park,581,63594,7.6,17,4572,village
Bellwood,19146,51173,12.8,17,4975,village
Bensenville,18431,62286,8.4,17,5248,village
Berkeley,5201,69938,3.9,17,5404,village
Berwyn,56414,59574,11.3,17,5573,city
Blue Island,22446,41305,17.0,17,6704,city
Bridgeview,16381,52810,16.6,17,8225,village
Broadview,7915,50332,8.9,17,8446,village
Brookfield,18966,75336,7.9,17,8576,village
Buffalo Grove,41554,101376,3.2,17,9447,village
Burbank,29087,54735,9.8,17,9642,city
Burnham,4212,44048,21.9,17,9798,village
Burr Ridge,10736,126771,3.8,17,9980,village
Calumet City,37112,40845,17.1,17,10487,city
Calumet Park,8320,46351,14.5,17,10513,village
Chicago,2714017,50434,17.6,17,14000,city
Chicago Heights,30349,40611,24.3,17,14026,city
Chicago Ridge,14368,43103,19.8,17,14065,village
Cicero,83972,42345,19.7,17,14351,town
Country Club Hills,16794,56317,11.2,17,16691,city
Countryside,5965,53750,11.9,17,16873,city
Crestwood,10989,53572,3.9,17,17497,village
Deerfield,18686,143729,1.1,17,18992,village
Deer Park,3409,160461,1.3,17,19083,village
Des Plaines,58755,64582,5.4,17,19642,city
Dixmoor,3614,43882,30.4,17,20149,village
Dolton,23113,44511,22.3,17,20292,village
East Dundee,3125,61523,10.2,17,21696,village
East Hazel Crest,1595,50543,11.8,17,21904,village
Elgin,111919,60375,11.5,17,23074,city
Elk Grove Village,33251,71082,4.3,17,23256,village
Elmhurst,45742,100671,2.9,17,23620,city
Elmwood Park,24845,53947,9.9,17,23724,village
Evanston,75472,71317,6.6,17,24582,city
Evergreen Park,19849,65554,5.6,17,24634,village
Flossmoor,9215,87179,0.0,17,26571,village
Ford Heights,2775,23220,35.2,17,26710,village
Forest Park,14137,51552,8.3,17,26935,village
Forest View,783,57981,0.0,17,26987,village
Frankfort,18415,113250,4.1,17,27624,village
Franklin Park,18290,57288,7.4,17,27702,village
Glencoe,8870,185320,1.6,17,29652,village
Glenview,46559,102009,3.0,17,29938,village
Glenwood,8853,56713,9.5,17,30029,village
Golf,533,168750,1.6,17,30328,village
Hanover Park,38331,69922,9.8,17,32746,village
Harvey,25625,21909,30.6,17,33383,city
Harwood Heights,8628,51365,8.3,17,33435,village
Hazel Crest,13924,50661,15.0,17,33695,village
Hickory Hills,13858,61708,11.8,17,34514,city
Hillside,8165,50779,14.5,17,35086,village
Hinsdale,17438,173558,3.5,17,35307,village
Hodgkins,1960,47050,6.6,17,35385,village
Hoffman Estates,51727,88733,3.6,17,35411,village
Homer Glen,24385,92054,2.3,17,35835,village
Hometown,4343,42383,7.5,17,35866,city
Homewood,19280,71653,5.9,17,35879,village
Indian Head Park,3823,82219,1.1,17,37257,village
Inverness,7844,172949,0.0,17,37608,village
Justice,12957,50088,13.0,17,38830,village
Kenilworth,2613,211023,2.6,17,39519,village
La Grange,15688,105417,3.5,17,40767,village
La Grange Park,13596,85671,3.2,17,40793,village
Lansing,28369,50107,12.5,17,42028,village
Lemont,16587,89524,3.0,17,42795,village
Lincolnwood,12637,96222,6.3,17,43744,village
Lynwood,9232,50171,11.8,17,45421,village
Lyons,10571,45825,10.1,17,45434,village
McCook,226,50417,3.4,17,45564,village
Markham,12633,34414,23.1,17,47007,city
Matteson,19146,80639,9.5,17,47540,village
Maywood,24029,44126,17.0,17,47774,village
Melrose Park,25422,45931,17.2,17,48242,village
Merrionette Park,1896,48295,2.2,17,48554,village
Midlothian,14830,63186,5.9,17,48892,village
Morton Grove,23413,75797,6.0,17,50647,village
Mount Prospect,54552,69517,3.5,17,51089,village
Niles,29628,54027,8.5,17,53000,village
Norridge,15023,59946,6.1,17,53377,village
Northbrook,33538,115243,1.8,17,53481,village
Northfield,5374,125636,4.5,17,53663,village
Northlake,12339,54808,12.0,17,53871,city
North Riverside,6983,59324,9.6,17,54144,village
Oak Brook,7988,144286,2.6,17,54534,village
Oak Forest,28055,75563,3.6,17,54638,city
Oak Lawn,56774,58707,7.2,17,54820,village
Oak Park,51989,82826,5.2,17,54885,village
Olympia Fields,4888,96377,1.2,17,55938,village
Orland Hills,7241,76311,5.0,17,56627,village
Orland Park,58612,85580,3.6,17,56640,village
Palatine,69098,75066,6.7,17,57225,village
Palos Heights,12544,80077,1.5,17,57381,city
Palos Hills,17545,57744,7.3,17,57394,city
Palos Park,4934,77304,2.2,17,57407,village
Park Forest,21831,44713,14.8,17,57732,village
Park Ridge,37567,92474,2.9,17,57875,city
Phoenix,2042,33594,20.0,17,59572,village
Posen,6251,41546,25.6,17,61314,village
Prospect Heights,16331,63150,7.5,17,62016,city
Richton Park,13668,53693,18.1,17,63706,village
Riverdale,13047,31438,22.2,17,64278,village
River Forest,11217,103622,3.9,17,64304,village
River Grove,10248,48670,11.0,17,64343,village
Riverside,8779,100696,3.9,17,64421,village
Robbins,5216,30490,23.6,17,64616,village
Rolling Meadows,23377,65546,7.5,17,65338,city
Roselle,22911,79040,4.0,17,65806,village
Rosemont,4715,46875,22.2,17,65819,village
Sauk Village,10541,42532,17.9,17,67769,village
Schaumburg,74366,75658,4.4,17,68003,village
Schiller Park,11813,52990,10.3,17,68081,village
Skokie,64873,68015,7.9,17,70122,village
South Barrington,4766,184141,5.6,17,70564,village
South Chicago Heights,4143,35721,15.4,17,70629,village
South Holland,22040,63006,10.3,17,70850,village
Steger,9535,42492,13.7,17,72520,village
Stickney,6778,60910,5.0,17,72676,village
Stone Park,4936,40717,16.9,17,72923,village
Streamwood,40552,76639,4.6,17,73157,village
Summit,11409,47421,15.6,17,73638,village
Thornton,2614,52944,8.8,17,75185,village
Tinley Park,57125,76022,7.0,17,75484,village
University Park,7196,46721,12.1,17,76935,village
Westchester,16719,72470,4.1,17,80047,village
Western Springs,13133,147361,1.1,17,80242,village
Wheeling,38008,60368,8.8,17,81087,village
Willow Springs,5677,81926,3.0,17,82049,village
Wilmette,27367,138651,2.1,17,82075,village
Winnetka,12437,207857,2.3,17,82530,village
Worth,10776,53800,7.9,17,83518,village
